Area;Item;Year;Value
Australia;Drained organic soils;2000;3321.3442
Australia;Drained organic soils;2020;3278.311
Australia;Drained organic soils (CO2);2000;2894.5414
Australia;Drained organic soils (CO2);2020;2857.1293
Australia;Drained organic soils (N2O);2000;426.8027
Australia;Drained organic soils (N2O);2020;421.1816
Australia;On-farm energy use;2000;4982.0302
Australia;On-farm energy use;2020;6118.1537
Australia;Forestland;2000;-10689.5925
Australia;Forestland;2020;-1585.0912
Australia;Net Forest conversion;2000;58561.2819
Australia;Net Forest conversion;2020;1256.3833
Australia;Savanna fires;2000;92588.6108
Australia;Savanna fires;2020;13405.8811
Australia;Fires in organic soils;2000;0
Australia;Fires in organic soils;2020;0
Australia;Forest fires;2000;3480.4142
Australia;Forest fires;2020;10985.2467
Australia;Fires in humid tropical forests;2000;129.439
Australia;Fires in humid tropical forests;2020;71.0245
Australia;Agrifood Systems Waste Disposal;2000;4664.8017
Australia;Agrifood Systems Waste Disposal;2020;5460.1101
Australia;Fertilizers Manufacturing;2000;413.8817
Australia;Fertilizers Manufacturing;2020;894.8855
Australia;Pesticides Manufacturing;2000;1389
Australia;Pesticides Manufacturing;2020;2572
Australia;On-farm Electricity Use;2000;2468.4336
Australia;On-farm Electricity Use;2020;1398.484
Australia;Food Processing;2000;8372.778
Australia;Food Processing;2020;7356.1295
Australia;Food Packaging;2000;9555.3555
Australia;Food Packaging;2020;4130.457
Australia;Food Retail;2000;3823.1039
Australia;Food Retail;2020;8798.191
Australia;Food Household Consumption;2000;10208.2337
Australia;Food Household Consumption;2020;11169.3889
Australia;Food Transport;2000;7924.9205
Australia;Food Transport;2020;10125.9783
Australia;Energy;2000;365249
Australia;Energy;2020;385870.5
Australia;IPPU;2000;17814.9517
Australia;IPPU;2020;31960.267
Australia;Waste;2000;16782.35
Australia;Waste;2020;14037.53
Australia;Other;2000;1830.25
Australia;Other;2020;1928.3
Austria;Crop Residues;2000;236.2187
Austria;Crop Residues;2020;288.8322
Austria;Burning - Crop residues;2000;28.7463
Austria;Burning - Crop residues;2020;30.5242
Austria;Enteric Fermentation;2000;4750.8034
Austria;Enteric Fermentation;2020;4109.6728
Austria;Manure Management;2000;1700.4401
Austria;Manure Management;2020;1452.0536
Austria;Manure left on Pasture;2000;433.7458
Austria;Manure left on Pasture;2020;390.1849
Austria;Manure applied to Soils;2000;650.3192
Austria;Manure applied to Soils;2020;567.3351
Austria;Synthetic Fertilizers;2000;671.1925
Austria;Synthetic Fertilizers;2020;587.5379
Austria;Drained organic soils;2000;328.7252
Austria;Drained organic soils;2020;341.8225
Austria;Drained organic soils (CO2);2000;276.7119
Austria;Drained organic soils (CO2);2020;287.6804
Austria;Drained organic soils (N2O);2000;52.0133
Austria;Drained organic soils (N2O);2020;54.1421
Austria;On-farm energy use;2000;1210.7444
Austria;On-farm energy use;2020;913.0816
Austria;Forestland;2000;-15381.5567
Austria;Forestland;2020;-7440.2896
Austria;Net Forest conversion;2000;1810.7327
Austria;Net Forest conversion;2020;225.94
Austria;Savanna fires;2000;0
Austria;Savanna fires;2020;0.0615
Austria;Fires in organic soils;2000;0
Austria;Fires in organic soils;2020;0
Austria;Forest fires;2000;0.0902
Austria;Forest fires;2020;0.1302
Austria;Fires in humid tropical forests;2000;0
Austria;Fires in humid tropical forests;2020;0
Austria;Agrifood Systems Waste Disposal;2000;1494.8575
Austria;Agrifood Systems Waste Disposal;2020;1468.4862
Austria;Pesticides Manufacturing;2000;65
Austria;Pesticides Manufacturing;2020;90
Austria;On-farm Heat Use;2000;6
Austria;On-farm Heat Use;2020;9
Austria;On-farm Electricity Use;2000;148.8246
Austria;On-farm Electricity Use;2020;162.9566
Austria;Food Processing;2000;1138.5705
Austria;Food Processing;2020;1248.7241
Austria;Food Packaging;2000;638.2315
Austria;Food Packaging;2020;676.0578
Austria;Food Retail;2000;824.9056
Austria;Food Retail;2020;1273.7881
Austria;Food Household Consumption;2000;1108.5418
Austria;Food Household Consumption;2020;1110.2687
Austria;Food Transport;2000;1414.1162
Austria;Food Transport;2020;1726.7519
Austria;Energy;2000;63634.45
Austria;Energy;2020;56915.25
Austria;IPPU;2000;9983.3129
Austria;IPPU;2020;25895.924
Austria;Waste;2000;4650.79
Austria;Waste;2020;2729.043
Austria;Other;2000;325.95
Austria;Other;2020;168.54
Azerbaijan;Crop Residues;2000;107.8332
